X	Y	composition	n_cells
-3.5333670377731323	-3.877202272415161	[1. 0.]	1.0
3.035530209541321	-3.877202272415161	[1. 0.]	1.0
3.856642246246338	-3.877202272415161	[1. 0.]	1.0
4.677754640579224	-3.877202272415161	[0.75 0.25]	8.0
5.088310718536377	-3.877202272415161	[0.7647059  0.23529412]	34.0
5.498866558074951	-3.877202272415161	[0.8153846  0.18461539]	65.0
5.9094226360321045	-3.877202272415161	[0.6969697 0.3030303]	33.0
6.319978952407837	-3.877202272415161	[0.6764706  0.32352942]	34.0
6.73053503036499	-3.877202272415161	[0.23076923 0.7692308 ]	13.0
7.1410908699035645	-3.877202272415161	[0.8 0.2]	10.0
7.551646947860718	-3.877202272415161	[1. 0.]	54.0
7.96220326423645	-3.877202272415161	[1. 0.]	1.0
-4.3544793128967285	-3.416340708732605	[1. 0.]	3.0
-3.943923234939575	-3.416340708732605	[0.96428573 0.03571429]	28.0
-3.5333670377731323	-3.416340708732605	[0.78 0.22]	50.0
-3.122810959815979	-3.416340708732605	[0.6888889  0.31111112]	45.0
-2.7122548818588257	-3.416340708732605	[0.75 0.25]	4.0
2.6249741315841675	-3.416340708732605	[0.9166667  0.08333334]	12.0
3.035530209541321	-3.416340708732605	[0.64285713 0.35714287]	14.0
3.446086287498474	-3.416340708732605	[0.8333333  0.16666667]	6.0
3.856642246246338	-3.416340708732605	[1. 0.]	3.0
4.267198324203491	-3.416340708732605	[0.8333333  0.16666667]	18.0
4.677754640579224	-3.416340708732605	[0.7169811  0.28301886]	53.0
5.088310718536377	-3.416340708732605	[0.6632653  0.33673468]	98.0
5.498866558074951	-3.416340708732605	[0.6544118  0.34558824]	136.0
5.9094226360321045	-3.416340708732605	[0.60465115 0.39534885]	129.0
6.319978952407837	-3.416340708732605	[0.73504275 0.26495728]	117.0
6.73053503036499	-3.416340708732605	[0.7518797  0.24812031]	133.0
7.1410908699035645	-3.416340708732605	[0.5540541  0.44594595]	74.0
7.551646947860718	-3.416340708732605	[0.25925925 0.7407407 ]	27.0
-6.817815542221069	-2.955479145050049	[1. 0.]	3.0
-5.996703624725342	-2.955479145050049	[1. 0.]	1.0
-5.5861475467681885	-2.955479145050049	[1. 0.]	9.0
-5.175591230392456	-2.955479145050049	[0.8888889  0.11111111]	9.0
-4.765035152435303	-2.955479145050049	[0.9230769  0.07692308]	13.0
-4.3544793128967285	-2.955479145050049	[0.8333333  0.16666667]	36.0
-3.943923234939575	-2.955479145050049	[0.8115942 0.1884058]	69.0
-3.5333670377731323	-2.955479145050049	[0.7222222 0.2777778]	72.0
-3.122810959815979	-2.955479145050049	[0.6 0.4]	55.0
-2.7122548818588257	-2.955479145050049	[0.7027027 0.2972973]	37.0
-2.3016988039016724	-2.955479145050049	[0. 1.]	1.0
2.6249741315841675	-2.955479145050049	[1. 0.]	3.0
3.035530209541321	-2.955479145050049	[1. 0.]	9.0
3.446086287498474	-2.955479145050049	[0.625 0.375]	8.0
3.856642246246338	-2.955479145050049	[0.8333333  0.16666667]	18.0
4.267198324203491	-2.955479145050049	[0.7291667  0.27083334]	48.0
4.677754640579224	-2.955479145050049	[0.5769231  0.42307693]	78.0
5.088310718536377	-2.955479145050049	[0.45238096 0.54761904]	126.0
5.498866558074951	-2.955479145050049	[0.48175183 0.5182482 ]	137.0
5.9094226360321045	-2.955479145050049	[0.4680851 0.5319149]	141.0
6.319978952407837	-2.955479145050049	[0.60330576 0.3966942 ]	121.0
6.73053503036499	-2.955479145050049	[0.66386557 0.33613446]	119.0
7.1410908699035645	-2.955479145050049	[0.539823 0.460177]	113.0
7.551646947860718	-2.955479145050049	[0.13636364 0.8636364 ]	44.0
