	Condition	CDR3 length	Ratio
0	Acute myeloid leukemia	7	0.0004843787842092516
1	Acute myeloid leukemia	8	0.0001210946960523129
2	Acute myeloid leukemia	9	0.0002421893921046258
3	Acute myeloid leukemia	10	0.007992249939452653
4	Acute myeloid leukemia	11	0.01913296197626544
5	Acute myeloid leukemia	12	0.04904335190118673
6	Acute myeloid leukemia	13	0.11964155969968515
7	Acute myeloid leukemia	14	0.22087672559941873
8	Acute myeloid leukemia	15	0.29813514168079436
9	Acute myeloid leukemia	16	0.12702833615887624
10	Acute myeloid leukemia	17	0.10171954468394284
11	Acute myeloid leukemia	18	0.03572293533543231
12	Acute myeloid leukemia	19	0.013562605957859046
13	Acute myeloid leukemia	20	0.002542988617098571
14	Acute myeloid leukemia	21	0.0015742310486800677
15	Acute myeloid leukemia	22	0.0015742310486800677
16	Acute myeloid leukemia	23	0.0002421893921046258
17	Acute myeloid leukemia	24	0.0001210946960523129
18	Acute myeloid leukemia	25	0.0002421893921046258
19	Acute myeloid leukemia	26	0.0
20	Normal	7	0.0
21	Normal	8	0.0026466424570689975
22	Normal	9	0.002154243860404998
23	Normal	10	0.001969594386655998
24	Normal	11	0.03612974703022096
25	Normal	12	0.05896473195051394
26	Normal	13	0.1785560411152828
27	Normal	14	0.23985966639995077
28	Normal	15	0.23512032990705978
29	Normal	16	0.13879485443466485
30	Normal	17	0.05785683510801994
31	Normal	18	0.034037052994398964
32	Normal	19	0.00917092386286699
33	Normal	20	0.0033236905274819967
34	Normal	21	0.000923247368744999
35	Normal	22	0.0003077491229149997
36	Normal	23	6.154982458299993e-05
37	Normal	24	0.0
38	Normal	25	0.0
39	Normal	26	0.00012309964916599987
