	Groups	Clonotypes size	Ratio
0	Acute myeloid leukemia<<>>AML009	n = 1	0.9285714285714286
1	Acute myeloid leukemia<<>>AML009	n = 2	0.07142857142857142
2	Acute myeloid leukemia<<>>AML009	n = 3	0.0
3	Acute myeloid leukemia<<>>AML009	n = 4	0.0
4	Acute myeloid leukemia<<>>AML009	n = 5	0.0
5	Acute myeloid leukemia<<>>AML009	n = 6	0.0
6	Acute myeloid leukemia<<>>AML009	n = 7	0.0
7	Acute myeloid leukemia<<>>AML009	n = 8	0.0
8	Acute myeloid leukemia<<>>AML009	n = 9	0.0
9	Acute myeloid leukemia<<>>AML009	n = 10	0.0
10	Acute myeloid leukemia<<>>AML009	n > 10	0.0
11	Acute myeloid leukemia<<>>AML0102	n = 1	0.926775956284153
12	Acute myeloid leukemia<<>>AML0102	n = 2	0.03169398907103825
13	Acute myeloid leukemia<<>>AML0102	n = 3	0.009836065573770493
14	Acute myeloid leukemia<<>>AML0102	n = 4	0.003278688524590164
15	Acute myeloid leukemia<<>>AML0102	n = 5	0.003278688524590164
16	Acute myeloid leukemia<<>>AML0102	n = 6	0.001092896174863388
17	Acute myeloid leukemia<<>>AML0102	n = 7	0.001092896174863388
18	Acute myeloid leukemia<<>>AML0102	n = 8	0.002185792349726776
19	Acute myeloid leukemia<<>>AML0102	n = 9	0.0
20	Acute myeloid leukemia<<>>AML0102	n = 10	0.0
21	Acute myeloid leukemia<<>>AML0102	n > 10	0.020765027322404372
22	Acute myeloid leukemia<<>>AML0134	n = 1	0.7617801047120419
23	Acute myeloid leukemia<<>>AML0134	n = 2	0.09162303664921466
24	Acute myeloid leukemia<<>>AML0134	n = 3	0.020942408376963352
25	Acute myeloid leukemia<<>>AML0134	n = 4	0.01832460732984293
26	Acute myeloid leukemia<<>>AML0134	n = 5	0.013089005235602094
27	Acute myeloid leukemia<<>>AML0134	n = 6	0.015706806282722512
28	Acute myeloid leukemia<<>>AML0134	n = 7	0.005235602094240838
29	Acute myeloid leukemia<<>>AML0134	n = 8	0.002617801047120419
30	Acute myeloid leukemia<<>>AML0134	n = 9	0.010471204188481676
31	Acute myeloid leukemia<<>>AML0134	n = 10	0.002617801047120419
32	Acute myeloid leukemia<<>>AML0134	n > 10	0.05759162303664921
33	Acute myeloid leukemia<<>>AML052	n = 1	0.8296703296703297
34	Acute myeloid leukemia<<>>AML052	n = 2	0.06593406593406594
35	Acute myeloid leukemia<<>>AML052	n = 3	0.016483516483516484
